序号,分类,官方检测名称,中文名称,检测主体,比较范围,核心特征或条件,检测机制,主要数据源/CIM,安全意义,公开实现边界
92,打印行为异常,UEBA - Unusual Print Time per Device - Rule,打印时间异常（设备）,设备,实体个人历史/规则范围,打印发生时段,时间基线,Windows PrintService；Endpoint/Change,发现深夜、周末等非惯常打印,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
93,USB 外设行为异常,UEBA - Unusual Volume Of USB Denies Per User By Company - Rule,USB 拒绝事件数量异常（用户，公司同伴组）,用户,公司同伴组,USB 策略拒绝次数,统计基线,Endpoint/USB/DLP；Endpoint/Change,发现反复尝试使用受限 USB,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
94,USB 外设行为异常,UEBA - Unusual Volume Of USB Denies Per User - Rule,USB 拒绝事件数量异常（用户）,用户,实体个人历史/规则范围,USB 策略拒绝次数,统计基线,Endpoint/USB/DLP；Endpoint/Change,发现反复尝试使用受限 USB,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
95,USB 外设行为异常,UEBA - Unusual Volume Of File Operations To USB Per User By Company - Rule,针对 USB 的文件操作量异常（用户，公司同伴组）,用户,公司同伴组,USB 文件操作次数,统计基线,Endpoint/USB/DLP；Endpoint/Change,发现批量复制或移动文件到 USB,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
96,USB 外设行为异常,UEBA - Unusual Volume Of File Operations To USB Per User - Rule,针对 USB 的文件操作量异常（用户）,用户,实体个人历史/规则范围,USB 文件操作次数,统计基线,Endpoint/USB/DLP；Endpoint/Change,发现批量复制或移动文件到 USB,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
97,USB 外设行为异常,UEBA - Unusual Volume Of Bytes Written To USB Per User By Company - Rule,写入 USB 的数据量异常（用户，公司同伴组）,用户,公司同伴组,写入 USB 字节数,统计基线,Endpoint/USB/DLP；Endpoint/Change,发现通过 USB 大规模外拷数据,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
98,USB 外设行为异常,UEBA - Unusual Volume Of Bytes Written To USB Per User - Rule,写入 USB 的数据量异常（用户）,用户,实体个人历史/规则范围,写入 USB 字节数,统计基线,Endpoint/USB/DLP；Endpoint/Change,发现通过 USB 大规模外拷数据,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
99,USB 外设行为异常,UEBA - Unusual Volume Of Bytes Read From USB Per User By Company - Rule,从 USB 读取的数据量异常（用户，公司同伴组）,用户,公司同伴组,从 USB 读取字节数,统计基线,Endpoint/USB/DLP；Endpoint/Change,发现通过 USB 大规模导入文件,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
100,USB 外设行为异常,UEBA - Unusual Volume Of Bytes Read From USB Per User - Rule,从 USB 读取的数据量异常（用户）,用户,实体个人历史/规则范围,从 USB 读取字节数,统计基线,Endpoint/USB/DLP；Endpoint/Change,发现通过 USB 大规模导入文件,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
101,邮件外发与 DLP 异常,UEBA - Email over 5 MB Sent to Personal Email - Rule,向个人邮箱发送超过 5 MB 的邮件,用户,固定规则/关联范围,邮件大小、收件域,固定规则,邮件网关/DLP；Email,发现向个人邮箱大文件外发,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
102,邮件外发与 DLP 异常,UEBA - Email Sent to Personal Email with Privacy Keywords - Rule,包含隐私关键词的邮件发送至个人邮箱,用户,固定规则/关联范围,收件域、隐私关键词,固定规则,邮件网关/DLP；Email,发现敏感内容通过个人邮箱外发,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
103,邮件外发与 DLP 异常,UEBA - Email Sent to Personal Email with Attachment - Rule,带附件的邮件发送至个人邮箱,用户,固定规则/关联范围,收件域、附件,固定规则,邮件网关/DLP；Email,发现附件通过个人邮箱外发,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
104,邮件外发与 DLP 异常,UEBA - Email Sent to Personal Email Using Same Alias - Rule,使用相同别名向个人邮箱发送邮件,用户,固定规则/关联范围,企业邮箱与个人邮箱别名相似度,固定规则,邮件网关；Email,发现用户向自己的个人邮箱转发数据,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
105,邮件外发与 DLP 异常,UEBA - Email Sent to Disposable Email Provider - Rule,向一次性邮箱服务商发送邮件,用户,固定规则/关联范围,收件域名单,名单规则,邮件网关；Email,发现向临时邮箱外发数据,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
106,邮件外发与 DLP 异常,UEBA - Large Office 365 Message Flagged by DLP Policy - Rule,被 DLP 策略标记的 Office 365 大邮件,用户,固定规则/关联范围,DLP 命中与邮件大小,组合规则,Office 365/DLP；Email,发现大体积敏感邮件外发,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
107,邮件外发与 DLP 异常,UEBA - Office 365 DLP Policy Violations Allowed - Rule,被允许通过的 Office 365 DLP 策略违规,用户,固定规则/关联范围,DLP 违规与允许/绕过动作,组合规则,Office 365/DLP；Email,发现 DLP 命中后仍被放行或绕过,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
108,账号管理与日志篡改异常,UEBA - Windows Event Log Cleared - Rule,Windows 事件日志被清除,用户/设备,固定规则/关联范围,日志清除事件,确定性规则,Windows Security；Change,发现攻击者清理审计证据,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
109,账号管理与日志篡改异常,UEBA - Short Lived Windows Accounts - Rule,短生命周期 Windows 账号,账号,固定规则/关联范围,账号创建后短时间删除/禁用,时序规则,Windows Security；Change,发现临时后门账号及痕迹清理,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
110,账号管理与日志篡改异常,UEBA - Password Policy Circumvention - Rule,规避密码策略,账号/用户,固定规则/关联范围,密码或账号管理事件组合,确定性/时序规则,Windows Security；Change、Authentication,发现密码策略绕过和异常重置,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
111,账号管理与日志篡改异常,UEBA - Member Added Removed In Short Span Universal Groups - Rule,通用组成员短时间内加入后移除,用户/组,固定规则/关联范围,通用组成员变更序列,时序规则,Windows Security；Change,发现短时提权后清理成员关系,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
112,账号管理与日志篡改异常,UEBA - Member Added Removed In Short Span Global Groups - Rule,全局组成员短时间内加入后移除,用户/组,固定规则/关联范围,全局组成员变更序列,时序规则,Windows Security；Change,发现短时提权后清理成员关系,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
113,HTTP / Web 代理访问异常,UEBA - Http Unusual Traffic to Anonymizing Sites - Rule,访问匿名代理站点的 HTTP 流量异常,用户/设备,实体历史及规则范围,匿名代理站点类别与流量,名单与统计基线,HTTP/代理；Web,发现匿名代理、规避审计或隐蔽外联,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
114,HTTP / Web 代理访问异常,UEBA - Http Unusual Job Search Activity - Rule,HTTP 求职网站活动异常,用户,固定规则/关联范围,求职站点访问频率,类别与统计规则,HTTP/代理；Web,发现潜在离职风险信号,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
115,HTTP / Web 代理访问异常,UEBA - Http Suspicious Domain File Download - Rule,从可疑域名下载文件,用户/设备,固定规则/关联范围,可疑域名与文件下载,名单与组合规则,HTTP/代理；Web,发现恶意载荷或工具下载,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
116,HTTP / Web 代理访问异常,UEBA - Http Excessive Transfer to Storage Site - Rule,向存储站点大量传输数据,用户/设备,实体历史及规则范围,存储站点类别与传输量,名单与统计基线,HTTP/代理；Web,发现借助云盘或存储站点外传数据,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
117,主机失陷关联检测,UEBA - Compromised Windows Host Correlation - Rule,Windows 主机失陷关联检测,设备,固定规则/关联范围,多个主机安全信号,关联检测,Windows/Endpoint/External Alarm,关联多种迹象判断 Windows 主机失陷,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
118,主机失陷关联检测,UEBA - Compromised Linux Host Correlation - Rule,Linux 主机失陷关联检测,设备,固定规则/关联范围,多个主机安全信号,关联检测,Linux auditd/Endpoint/External Alarm,关联多种迹象判断 Linux 主机失陷,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
119,主机失陷关联检测,UEBA - AWS Compromised Account - Rule,AWS 账号失陷检测,账号/用户,固定规则/关联范围,AWS 账号的异常活动组合,关联检测,AWS CloudTrail；Cloud/Authentication,发现云账号被盗用或权限滥用,名称与产品机制可核验；具体 SPL、窗口、阈值和权重未公开
